nombre_indicador,SpatialDimType,SpatialDim,SpatialDim_es,TimeDim,Numeric_value,Porcentaje_embarazo_juvenil
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2000,63.429,6.3429
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2001,61.027,6.1027000000000005
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2002,56.92,5.692
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2003,53.757,5.3757
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2004,51.554,5.1554
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2005,49.532,4.9532
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2006,48.18,4.818
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2007,48.723,4.8723
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2008,54.779,5.4779
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2009,51.622,5.1622
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2010,42.477,4.2477
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2011,40.163,4.016299999999999
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2012,36.808,3.6808
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2013,33.761,3.3761
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2014,33.422,3.3421999999999996
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2015,34.834,3.4834000000000005
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2016,30.373,3.0373
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2017,30.352,3.0352
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2018,27.548,2.7548
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2019,30.83,3.0829999999999997
Tasa de fecundidad en adolescentes (nacimientos por 1 000 mujeres de 15 a 19 años),COUNTRY,ATG,Antigua y Barbuda,2020,32.959,3.2959000000000005
